SimNum," ""Intercept"""," ""Int_Low_CI"""," ""Int_Up_CI"""," ""Slope"""," ""Sl_Low_CI"""," ""Sl_Up_CI"""," ""a90"""," ""a9095"""," ""AIC"""," ""Iter"""," ""Converged"""," ""Separated"""," ""Uneven"""," ""Uneven_lower"""," ""Overlap"""," ""Case"""," ""Insp"""," ""N""",Model,a50,a25,
27,-3.662758182,-6.277595256,-1.72E+00,19.45158421,10.69092587,31.97577735,0.301259923,0.399577635,38.48562119,7,1,0,0.283333333,0.283333333,0.333333333,2,2,60,Logit,0.188301279,0.163772621,
27,-5.913917017,-9.757552612,-3.36E+00,19.13544452,10.98846165,31.61866499,0.42388049,0.532683489,39.1849094,7,1,0,0.5,0.5,0.333333333,2,3,60,Logit,0.309055638,0.284121738,
28,-1.723720507,-3.837202237,4.56E-02,15.21479389,6.674254294,27.14183737,0.257706093,0.386658364,39.5515607,7,1,0,0.166666667,0.166666667,0.7,2,1,60,Logit,0.1132924,0.081933364,
28,-2.462179475,-4.556068702,-8.16E-01,13.58302875,6.789700874,22.90934094,0.343031303,0.48292273,50.68182592,6,1,0,0.283333333,0.283333333,0.7,2,2,60,Logit,0.181268811,0.146142532,
28,-9.859071821,-18.88361698,-5.09E+00,35.54644004,18.02936852,69.2211037,0.339170291,0.446158546,29.87180093,8,1,0,0.483333333,0.483333333,0.25,2,3,60,Logit,0.277357502,0.263935026,
29,-3.014492541,-5.857363119,-8.91E-01,23.73834904,11.43203102,42.85123515,0.219548424,0.318615312,30.15389214,8,1,0,0.166666667,0.166666667,0.316666667,2,1,60,Logit,0.126988298,0.106889122,
29,-5.343261925,-9.496760935,-2.62E+00,27.41122763,14.78487906,46.70643803,0.275087515,0.350452983,31.14933887,8,1,0,0.283333333,0.283333333,0.316666667,2,2,60,Logit,0.194929684,0.177523631,
29,-6.562791364,-11.08098895,-3.67E+00,21.5632616,11.94504493,36.95530281,0.40624726,0.522917971,35.99770112,7,1,0,0.5,0.5,0.316666667,2,3,60,Logit,0.304350589,0.282224008,
30,-1.818578088,-4.059012136,5.14E-02,14.84049049,6.337431449,27.24048069,0.270597705,0.412111083,41.25184124,7,1,0,0.166666667,0.166666667,0.466666667,2,1,60,Logit,0.122541643,0.090391678,
30,-3.786701682,-6.476189682,-1.75E+00,19.23055222,10.45524143,31.63433468,0.311167677,0.4074622,42.77484433,6,1,0,0.283333333,0.283333333,0.466666667,2,2,60,Logit,0.19691071,0.172100124,
